Contig,Entry
comp13_c0_seq1,P0CH37
comp52_c0_seq1,Q6ATR0
comp56_c0_seq1,Q569L8
comp80_c0_seq1,P09205
comp81_c0_seq1,F4JS25
comp84_c0_seq2,Q9VLV5
comp115_c0_seq1,Q99MJ9
comp135_c0_seq1,Q5E9D6
comp146_c0_seq1,Q8MTI2
comp151_c0_seq1,Q0WLC6
comp160_c0_seq1,Q87L95
comp163_c0_seq1,Q6PFX9
comp174_c0_seq1,P08524
comp191_c0_seq1,P09437
comp210_c0_seq1,Q9EQG6
comp216_c0_seq1,P07259
comp232_c0_seq1,Q8I3Z1
comp235_c0_seq1,Q10494
comp240_c0_seq1,Q5RKG2
comp253_c0_seq1,E9QIN8
comp273_c0_seq1,Q8YRU9
comp301_c0_seq1,Q924Y0
comp325_c0_seq1,Q9SXD1
comp328_c0_seq1,O04536
comp352_c0_seq1,Q5UQ97
comp354_c0_seq2,Q86KR9
comp364_c0_seq1,Q8C2P3
comp366_c0_seq1,Q9LUJ4
comp381_c0_seq1,Q7KN62
comp386_c0_seq1,Q5M7N9
comp394_c0_seq1,Q56YP2
comp400_c0_seq1,Q92368
comp416_c0_seq1,Q5B995
comp420_c0_seq1,Q11212
comp432_c0_seq1,Q7ZV96
comp444_c0_seq1,Q9C505
comp464_c0_seq1,P37142
comp471_c0_seq1,Q4N594
comp479_c0_seq1,Q9ZR37
comp494_c0_seq1,Q9JLC8
comp498_c0_seq1,Q6DRD3
comp506_c0_seq1,Q6PFY8
comp508_c0_seq1,Q8RX29
comp515_c0_seq1,Q6AK07
comp529_c0_seq1,Q4DJ07
comp539_c0_seq2,Q9P974
comp555_c0_seq1,Q84JE8
comp576_c0_seq1,Q3EAR7
comp585_c0_seq1,P42519
comp598_c0_seq1,P31320
comp609_c0_seq1,Q2KJI2
comp611_c0_seq1,Q21268
comp614_c0_seq2,Q9FWC1
comp630_c0_seq1,O23254
comp651_c0_seq1,Q8KWT4
comp654_c0_seq1,Q9SIC9
comp676_c0_seq1,Q31QE7
comp682_c0_seq1,Q68W49
comp686_c0_seq1,Q9P6Q1
comp698_c0_seq1,Q04960
comp703_c0_seq1,Q044A7
comp707_c0_seq1,Q05094
comp710_c0_seq1,Q7T3H9
comp721_c0_seq1,Q9LHD2
comp740_c0_seq1,Q03168
comp758_c0_seq2,P26182
comp768_c0_seq1,Q5ZMM1
comp772_c0_seq1,Q5U374
comp802_c0_seq1,P62972
comp812_c0_seq1,P32874
comp833_c0_seq1,Q50940
comp847_c0_seq2,P21878
comp860_c0_seq1,B4F753
comp861_c0_seq1,Q4MYZ4
comp864_c0_seq1,Q46927
comp874_c0_seq1,O13755
comp876_c0_seq1,Q95032
comp894_c0_seq2,Q9XF62
comp906_c0_seq1,P16157
comp922_c0_seq1,O13755
comp931_c0_seq1,Q28085
comp950_c0_seq1,Q9CAN0
comp955_c0_seq1,Q3EAQ5
comp968_c0_seq1,A8JF70
comp993_c0_seq1,Q03149
comp1000_c0_seq1,Q9P974
comp1002_c0_seq1,P0DPA0
comp1007_c0_seq1,Q8MTI2
comp1015_c0_seq1,Q7L1I2
comp1016_c0_seq1,Q54QQ0
comp1025_c0_seq1,O82261
comp1027_c0_seq1,Q9XI84
comp1052_c0_seq1,B8LIX8
comp1053_c0_seq2,P51567
comp1055_c0_seq1,Q5UAP0
comp1059_c0_seq1,Q4IR18
comp1065_c0_seq1,Q44473
comp1070_c0_seq1,Q6WV19
comp1075_c0_seq1,E3XA68
comp1080_c0_seq1,P54818
comp1083_c0_seq1,P54861
comp1091_c0_seq1,Q8R151
comp1105_c0_seq1,Q71S22
comp1111_c0_seq1,Q86VD7
comp1114_c0_seq1,Q67W65
comp1136_c0_seq1,Q06544
comp1155_c0_seq1,Q8LBW2
comp1164_c0_seq1,Q9SEX2
comp1173_c0_seq1,Q55318
comp1178_c0_seq1,O75691
comp1191_c0_seq1,Q05974
comp1194_c0_seq1,B0X4N1
comp1211_c0_seq1,P38100
comp1213_c0_seq1,F4JTS8
comp1228_c0_seq1,Q8SQK9
comp1330_c0_seq1,Q8VEG4
comp1361_c0_seq1,Q5RKH1
comp1400_c0_seq1,Q582G4
comp1417_c0_seq1,Q8ZRS8
comp1464_c0_seq1,E2JA31
comp1467_c0_seq1,O06000
comp1488_c0_seq1,P35458
comp1518_c0_seq1,A0LY94
comp1524_c0_seq1,Q11011
comp1526_c0_seq1,B8HLD2
comp1527_c0_seq1,A1TYJ6
comp1545_c0_seq1,P43156
comp1609_c0_seq1,Q9NXH9
comp1614_c0_seq2,Q5R946
comp1634_c0_seq2,A1E295
comp1651_c0_seq1,Q8A6G5
comp1655_c0_seq1,P45250
comp1658_c0_seq1,B9G8P1
comp1662_c0_seq1,P0DJ25
comp1675_c0_seq1,Q91437
comp1680_c0_seq1,P24119
comp1690_c0_seq1,Q3ECK2
comp1725_c0_seq1,Q6CMG6
comp1733_c0_seq1,Q6C4D4
comp1738_c0_seq1,P54774
comp1762_c0_seq1,A0A0R4IKJ1
comp1765_c0_seq1,P9WQ25
comp1767_c0_seq1,Q02357
comp1768_c0_seq1,Q9VLU5
comp1825_c0_seq1,A5K0N4
comp1827_c0_seq1,P37367
comp1832_c0_seq2,Q24JV9
comp1852_c0_seq1,P31414
comp1891_c0_seq2,Q80SU7
comp1904_c0_seq1,Q5IFN2
comp1913_c0_seq1,Q9LQ15
comp1931_c0_seq1,Q9XI74
comp1935_c0_seq1,Q99733
comp1960_c0_seq1,A7MBI7
comp1963_c0_seq1,P09195
comp2001_c0_seq1,Q8G4L4
comp2015_c0_seq1,Q5UR03
comp2020_c0_seq1,A1T726
comp2030_c0_seq1,Q8LBL1
comp2058_c0_seq1,Q9VCA8
comp2079_c0_seq1,Q9SXD8
comp2115_c0_seq1,P48150
comp2150_c0_seq2,Q9CR35
comp2164_c0_seq1,Q0WLC6
comp2286_c0_seq1,Q92521
comp2360_c0_seq1,Q5JNT6
comp2368_c0_seq1,Q7X7K8
comp2376_c0_seq1,B7JZW9
comp2378_c0_seq1,P0C881
comp2387_c0_seq1,P32529
comp2410_c0_seq1,Q32PX9
comp2448_c0_seq1,A0A140IL92
comp2482_c0_seq1,Q0WVK7
comp2500_c0_seq1,Q8H0S9
comp2513_c0_seq1,Q8LGG0
comp2536_c0_seq1,Q9TW32
comp2558_c0_seq1,Q70LM6
comp2564_c0_seq2,Q6PAE6
comp2589_c0_seq1,P80093
comp2645_c0_seq1,Q8H136
comp2683_c0_seq1,P02730
comp2707_c0_seq1,P26646
comp2716_c0_seq1,Q6NGL9
comp2737_c0_seq1,P0CM97
comp2742_c0_seq1,Q63430
comp2747_c0_seq1,Q93Y35
comp2751_c0_seq1,Q8RB30
comp2754_c0_seq1,Q3TA59
comp2773_c0_seq1,Q9SSJ8
comp2779_c0_seq1,Q5RBF1
comp2798_c0_seq1,Q39054
comp2824_c0_seq1,Q94BV7
comp2825_c0_seq1,Q8DG98
comp2832_c0_seq1,Q8LBL1
comp2836_c0_seq1,Q90ZA1
comp2840_c0_seq1,Q9JHW2
comp2842_c0_seq2,Q98DV6
comp2844_c0_seq1,Q4FSH2
comp2857_c0_seq1,Q91VU7
comp2870_c0_seq1,Q6PC14
comp2883_c0_seq1,P29356
comp2892_c0_seq1,Q8BU11
comp2893_c0_seq1,P39368
comp2904_c0_seq1,Q7XWP3
comp2908_c0_seq1,A6VMR4
comp2926_c0_seq1,Q9Z0P5
comp2944_c0_seq1,Q9VY99
comp2950_c0_seq1,Q9SIC9
comp2956_c0_seq1,Q9FJL3
comp2959_c0_seq1,Q8BHT6
comp2962_c0_seq1,Q6YRK0
comp2966_c0_seq1,Q90XC2
comp2986_c0_seq1,Q8RWS8
comp2995_c0_seq1,Q94AW8
comp2996_c0_seq1,Q5ZKD7
comp2998_c0_seq1,O32036
comp3001_c0_seq1,Q24SP9
comp3002_c0_seq1,P42766
comp3023_c0_seq1,P53090
comp3057_c0_seq1,Q9SIP7
comp3058_c0_seq1,Q6NW95
comp3060_c0_seq1,O25610
comp3073_c0_seq1,Q4WKB9
comp3098_c0_seq1,Q0JJS8
comp3109_c0_seq1,Q5R8M3
comp3110_c0_seq2,Q5FWY4
comp3115_c0_seq1,B3PYH7
comp3123_c0_seq1,O74832
comp3130_c0_seq1,P21441
comp3141_c0_seq1,B2RZ50
comp3143_c0_seq1,P07983
comp3163_c0_seq1,P02362
comp3172_c0_seq1,Q2TCH3
comp3204_c0_seq1,P09243
comp3235_c0_seq1,P20904
comp3241_c0_seq1,Q62559
comp3244_c0_seq1,Q54C94
comp3257_c0_seq1,Q94AA9
comp3272_c0_seq1,A1CAQ1
comp3273_c0_seq1,P07814
comp3279_c0_seq1,Q39054
comp3287_c0_seq1,P45456
comp3293_c0_seq1,P10994
comp3297_c0_seq1,Q8LDW6
comp3303_c0_seq1,P46219
comp3309_c0_seq1,Q8UFL7
comp3325_c0_seq1,Q43839
comp3327_c0_seq1,Q7SZF1
comp3330_c0_seq1,Q9H9V4
comp3343_c0_seq1,Q21966
comp3344_c0_seq1,Q54XQ8
comp3352_c0_seq1,Q92945
comp3356_c0_seq1,Q6R2K2
comp3361_c0_seq1,A1XQU3
comp3363_c0_seq1,Q5R4H0
comp3371_c0_seq1,Q9FNA9
comp3374_c0_seq1,Q9SZ10
comp3378_c0_seq1,Q5XGS8
comp3392_c0_seq1,Q9HX48
comp3402_c0_seq1,P97770
comp3409_c0_seq1,Q93HT9
comp3419_c0_seq1,Q56YP2
comp3437_c0_seq1,Q54UA9
comp3450_c0_seq1,Q8K430
comp3453_c0_seq1,Q10251
comp3456_c0_seq1,Q9SF16
comp3459_c0_seq1,Q09758
comp3465_c0_seq1,P07850
comp3474_c0_seq1,Q4WM08
comp3476_c0_seq1,Q41093
comp3478_c0_seq1,A0JMG9
comp3507_c0_seq1,Q5UNW1
comp3523_c0_seq2,Q9LIC2
comp3558_c0_seq1,Q00454
comp3566_c0_seq1,Q9V4N3
comp3571_c0_seq1,Q5BKW9
comp3573_c0_seq1,Q6GPW2
comp3593_c0_seq1,Q9SS47
comp3596_c0_seq1,F4ILY9
comp3623_c0_seq1,F1Q7H8
comp3624_c0_seq2,Q7ZVC2
comp3638_c0_seq1,P91427
comp3646_c0_seq1,P35600
comp3648_c0_seq1,Q5UPD4
comp3699_c0_seq1,Q6S9C8
comp3702_c0_seq1,Q9JI90
comp3737_c0_seq2,Q8RWS8
comp3788_c0_seq1,P31692
comp3853_c0_seq1,Q9SZ54
comp3889_c0_seq1,Q23G98
comp3971_c0_seq1,P21727
comp3978_c0_seq1,Q2RMD6
comp4011_c0_seq1,Q9SIC9
comp4014_c0_seq1,P36590
comp4022_c0_seq1,P02598
comp4024_c0_seq1,Q4WSI1
comp4043_c0_seq1,Q6BRE4
comp4063_c0_seq1,Q50KB1
comp4181_c0_seq1,Q33AH8
comp4195_c0_seq1,Q03168
comp4203_c0_seq1,O74310
comp4218_c0_seq1,K3VDP2
comp4230_c0_seq1,Q2JQX6
comp4255_c0_seq1,Q3ZBU2
comp4284_c0_seq1,Q2S8W3
comp4307_c0_seq1,Q54CS2
comp4334_c0_seq2,Q9S7Q2
comp4396_c0_seq1,P41042
comp4421_c0_seq1,P49550
comp4432_c0_seq1,Q03133
comp4437_c0_seq1,O36015
comp4448_c0_seq1,Q38998
comp4449_c0_seq1,Q5UQL9
comp4455_c0_seq1,P34308
comp4466_c0_seq2,P16157
comp4492_c0_seq1,A0PJX2
comp4518_c0_seq1,P73191
comp4563_c0_seq1,P34099
comp4564_c0_seq1,Q5DU05
comp4587_c0_seq1,B3EWZ3
comp4589_c0_seq1,Q99LB7
comp4603_c0_seq1,Q80VN0
comp4613_c0_seq1,Q9SIC9
comp4646_c0_seq1,Q57151
comp4705_c0_seq1,P46793
comp4723_c0_seq1,Q9ZT71
comp4746_c0_seq1,Q7KF90
comp4748_c0_seq1,Q88AB2
comp4754_c0_seq1,Q96KN2
comp4809_c0_seq1,P09884
comp4831_c0_seq1,Q4G073
comp4845_c0_seq1,P29691
comp4864_c0_seq1,Q8N130
comp4896_c0_seq1,P94400
comp4937_c0_seq1,Q6PFP6
comp4947_c0_seq1,A9M752
comp4963_c0_seq1,P08201
comp4977_c0_seq1,P0CT24
comp4987_c0_seq1,Q8RWS8
comp5048_c0_seq1,P18621
comp5064_c0_seq1,A0R0B0
comp5135_c0_seq1,Q2SZJ1
comp5171_c0_seq1,P15558
comp5189_c0_seq1,Q8RY89
comp5198_c0_seq1,P51568
comp5203_c0_seq1,Q27YU0
comp5213_c0_seq1,P0C7R3
comp5234_c0_seq2,Q86CT3
comp5236_c0_seq1,P0DKH2
comp5247_c0_seq1,Q53046
comp5270_c0_seq1,F2Z461
comp5278_c0_seq1,O96651
comp5279_c0_seq1,P0C064
comp5331_c0_seq1,Q8VCH0
comp5368_c0_seq1,Q4HYR2
comp5372_c0_seq1,Q8UVC3
comp5381_c0_seq2,Q9JMC3
comp5393_c0_seq1,P27694
comp5395_c0_seq1,Q4KML2
comp5404_c0_seq1,Q9P6P9
comp5417_c0_seq1,Q1XDP2
comp5437_c0_seq1,P25519
comp5449_c0_seq1,Q8LBZ4
comp5465_c0_seq1,Q9MAA2
comp5476_c0_seq1,Q9MZ19
comp5478_c0_seq1,Q8A8C3
comp5493_c0_seq1,Q9SVE7
comp5507_c0_seq1,O00763
comp5518_c0_seq1,P47245
comp5536_c0_seq1,P50430
comp5540_c0_seq1,Q9SFB8
comp5587_c0_seq1,Q8MTI2
comp5600_c0_seq1,Q2NHL6
comp5604_c0_seq1,Q55E45
comp5610_c0_seq1,Q9R9I9
comp5642_c0_seq1,P0C605
comp5665_c0_seq1,P41234
comp5667_c0_seq1,Q8CDF7
